date,days,mag
2439679.8,199,8.6
2439684.9,200,8.9
2439696.9,201,9.5
2439713.8,202,8.7
2439715.9,203,10
2439732.8,204,8.8
2439734.8,205,8.6
2439736.7,206,8.6
2439743.8,207,9.5
2439749.8,208,9.4
2439764.7,209,8.6
2439768.7,210,8.5
2439772,211,8.8
2439777.7,212,8.7
2439792.1,213,9.2
2439802.6,214,8.4
2439805.9,215,10.5
2439816.9,216,9
2439820.6,217,8.5
2439821.7,218,8.9
2439821.8,219,8.5
2439826,220,9.2
2439832.5,221,9.3
2439836.1,222,9
2439840.6,223,8.6
2439843.5,224,9.4
2439843.6,225,8.6
2439846.7,226,9.7
2439850.9,227,9.3
2439851.5,228,9.4
2439856.6,229,8.9
2439863.5,230,9.6
2439863.6,231,8.7
2439863.6,232,8.7
2439866.9,233,9.2
2439867.5,234,9.4
2439873.6,235,8.6
2439878,236,9.2
2439882.6,237,8.8
2439884.7,238,8.8
2439888,239,9.3
2439888.6,240,8.8
2439890.6,241,9.5
2439891.6,242,8.8
2439892.6,243,9.4
2439902.9,244,9.3
2439903.5,245,9.7
2439904.5,246,9.8
2439904.6,247,8.8
2439908.6,248,8.8
2439909.5,249,9.9
2439913.9,250,9.3
2439919.5,251,9.6
2439922.6,252,8.7
2439923.6,253,9.7
2439940.6,254,9.6
2439941.5,255,9.7
2439945.6,256,9.6
2439952.6,257,9.1
2439958.6,258,9.7
2439963.6,259,9.7
2439977.9,260,9.8
2440028.7,261,9.6
2440041.8,262,9.3
2440042.7,263,9.8
2440043.9,264,10
2440050.7,265,9.4
2440057.7,266,9.7
2440057.7,267,9.8
2440063.6,268,10.4
2440064.7,269,9.7
2440068.7,270,9.8
2440073.9,271,10
2440079.6,272,9.5
2440082.7,273,9.9
2440086.6,274,9.9
2440091.7,275,9.7
2440092.9,276,8.7
2440096.6,277,10
2440113.6,278,10.1
2440125.8,279,10
2440143.5,280,10.5
2440154.8,281,9.3
2440156.6,282,10.2
2440174.7,283,9.8
2440179.6,284,9.8
2440183.5,285,9.7
2440186.5,286,9.5
2440208.5,287,9.3
2440222.5,288,9.3
2440226.5,289,9.3
2440260.6,290,9.8
2440261.7,291,8.2
2440262.5,292,9.1
2440297.7,293,8
2440299.6,294,9
2440299.6,295,9
2440318.6,296,9.4
2440322.6,297,9.4
2440420.8,298,9.5
2440420.9,299,9.5
2440445.8,300,10
2440447.8,301,10.3
2440476.7,302,9.4
2440525.7,303,8.9
2440589.6,304,9.2
2440600.6,305,9
2440637.6,306,8.8
2440654.6,307,8.6
2440673.6,308,8.6
2440678.7,309,8.1
2440687.6,310,8.4
2440782.493,311,8.2
2440784.9,312,9.7
2440789.4,313,9
2440801.9,314,10
2440849.6,315,9
2440858.413,316,8.7
2440868.64,317,8.3
2440869.5,318,9.1
2440884.5,319,9.1
2440886.3,320,9
2440898.5,321,9.1
2440898.7,322,9.2
2440916.7,323,8.7
2440917.4,324,9.3
2440929.4,325,9.2
2440942.3,326,9.2
2440955.6,327,8.8
2440970.7,328,8.8
2440982.5,329,8.7
2441001.5,330,8.2
2441018.4,331,8.1
2441027.3,332,8.2
2441054.4,333,8.3
2441054.4,334,8.1
2441146.5,335,7.9
2441149.5,336,8.9
2441150.7,337,9.1
2441164.7,338,9
2441179.5,339,8
2441185.6,340,9.1
2441213.6,341,9.1
2441223.8,342,8.5
2441230.4,343,7.9
2441233.3,344,7.6
2441236.7,345,8.6
2441239.4,346,7.9
2441239.4,347,7.6
2441250.4,348,8
2441250.4,349,7.9
2441250.4,350,8.8
2441252.3,351,8.4
2441256.4,352,8.9
2441261.3,353,8.5
2441263.4,354,8
2441269.3,355,7.7
2441269.688,356,8.1
2441277.7,357,8
2441297.6,358,8.8
2441308.5,359,8.4
2441319.7,360,9
2441337.4,361,8.8
2441361.3,362,9.3
2441393.4,363,9
2441539.6,364,8.4
2441544.8,365,8.4
2441547.5,366,8.4
2441560.8,367,7.9
2441570.7,368,8.1
2441571.4,369,8.4
2441592.7,370,8.5
2441594.4,371,8
2441621.7,372,8.5
2441624.7,373,8.5
2441636.625,374,8.1
2441637.292,375,8.2
2441643.333,376,8.7
2441644.7,377,9.1
2441646.313,378,8.51
2441648.271,379,8.41
2441652.5,380,8.5
2441656.514,381,8.98
2441658.4,382,8.4
2441659.547,383,8.6
2441683.4,384,8.4
2441683.7,385,9
2441705.323,386,8.23
2441713.417,387,8.19
2441723.292,388,8.23
2441724.292,389,8.27
2441730.333,390,8.23
2441735.375,391,8.31
2441737.365,392,8.31
2441738.333,393,8.31
2441740.354,394,8.31
2441743.406,395,8.27
2441747.333,396,8.31
2441748.323,397,8.31
2441750.333,398,8.31
2441751.354,399,8.27
2441762.313,400,8.26
2441763.344,401,8.31
2441765.344,402,8.23
2441768.333,403,8.23
2441771.354,404,8.22
2441772.375,405,8.21
2441774.333,406,8.18
2441778.354,407,8.15
2441779.375,408,8.15
2441781.396,409,8.05
2441782.385,410,8.1
2441804.396,411,8.05
2441840.521,412,8.05
2441856.531,413,8.1
2441886.531,414,7.95
2441887.552,415,7.95
2441895.514,416,8.66
2441895.604,417,7.85
2441901.49,418,8.05
2441902.5,419,8.05
2441904.49,420,8.23
2441917.5,421,8.05
2441918.424,422,8.53
2441918.51,423,8.05
2441919.563,424,8.05
2441921.563,425,8.05
2441926.427,426,8.1
2441926.472,427,8.58
2441929.438,428,8.05
2441930.382,429,8.64
2441932.417,430,8
2441940.375,431,8.05
2441943.458,432,8.05
2441947.458,433,8.05
2441949.458,434,8.73
2441952.625,435,8.1
2441954.479,436,8.1
2441957.542,437,8.21
2441961.375,438,8.31
2441972.344,439,8.84
2441975.7,440,10.5
2441976.333,441,8.29
2441977.365,442,8.41
2441980.7,443,8.5
2441982.347,444,8.75
2441985.385,445,8.41
2441993.365,446,8.41
2441993.8,447,8.6
2442000.6,448,10
2442002.313,449,8.41
2442003.333,450,8.46
2442006.344,451,8.41
2442008.6,452,8.2
2442010.8,453,8.6
2442013.354,454,8.41
2442014.375,455,8.36
2442017.333,456,8.41
2442020.8,457,8.4
2442025.403,458,8.52
2442026.292,459,8.41
2442028.281,460,8.36
2442031.333,461,8.31
2442034.333,462,8.23
2442035.6,463,8.4
2442039.354,464,8.1
2442040.365,465,8.41
2442041.8,466,8.3
2442047.358,467,8.41
2442049.8,468,8.3
2442054.354,469,8.05
2442058.417,470,8
2442061.438,471,7.75
2442066.514,472,7.5
2442067.354,473,7.45
2442069.7,474,8
2442071.375,475,7.45
2442073.354,476,7.45
2442079.313,477,7.45
2442081.344,478,7.45
2442086.292,479,7.45
2442086.6,480,7.9
2442088.333,481,7.45
2442089.7,482,8
2442090.333,483,7.45
2442101.292,484,8
2442101.7,485,8.2
2442118.7,486,8
2442119.347,487,7.9
2442124.344,488,7.45
2442125.333,489,7.45
2442126.354,490,7.5
2442129.7,491,8.2
2442136.7,492,8.1
2442137.375,493,7.95
2442138.333,494,7.9
2442138.354,495,8.18
2442138.358,496,8.23
2442145.333,497,8.15
2442146.354,498,8.18
2442147.344,499,8.18
2442148.61,500,9.1
2442152.361,501,8.43
2442152.396,502,8.23
2442152.6,503,8.3
2442159.367,504,8.43
2442182.5,505,8.28
2442187.88,506,9
2442196.503,507,8.96
2442196.517,508,8.48
2442203.542,509,8.76
2442205.479,510,8.96
2442211.521,511,8.51
2442212.521,512,8.51
2442212.521,513,8.92
2442219.479,514,8.41
2442220.5,515,8.41
2442220.514,516,8.96
2442221.483,517,8.31
2442222.8,518,9.1
2442230.542,519,8.41
2442232.521,520,8.41
2442235.486,521,8.64
2442239.8,522,9.1
2442245.542,523,8.41
2442246.563,524,8.41
2442247.521,525,8.31
2442249.479,526,8.31
2442249.521,527,8.64
2442250.486,528,8.63
2442253.49,529,8.15
2442257.451,530,8.58
2442257.531,531,8.23
2442265.417,532,8.24
2442266.462,533,8.33
2442266.51,534,8.23
2442274.583,535,8.23
2442276.5,536,8.23
2442279.458,537,8.28
2442279.458,538,8.3
2442282.427,539,8.3
2442282.465,540,8.41
2442290.521,541,8.23
2442295.438,542,8.15
2442297.472,543,8.18
2442298.378,544,8.31
2442300.392,545,8.41
2442300.4,546,7.85
2442300.479,547,8.15
2442302.5,548,8.5
2442304.417,549,8.23
2442304.542,550,8.1
2442304.9,551,8.3
2442306.458,552,8.05
2442307.375,553,8.05
2442307.424,554,7.95
2442308.417,555,8.05
2442310.403,556,8.31
2442310.483,557,8.29
2442311.345,558,8.13
2442312.396,559,8
2442312.444,560,7.9
2442319.33,561,8.18
2442319.375,562,7.88
2442319.444,563,7.85
2442320.5,564,8.2
2442326.427,565,8.05
2442327.396,566,8
2442328.7,567,8.2
2442329.368,568,8.23
2442331.7,569,8.6
2442333.333,570,8.23
2442333.406,571,7.95
2442339.729,572,7.85
2442341.347,573,7.95
2442341.42,574,8.05
2442341.438,575,7.81
2442343.309,576,8.37
2442343.385,577,8.25
2442344.9,578,8.9
2442346.8,579,8.4
2442348.368,580,7.85
2442355.396,581,8.28
2442356.333,582,7.75
2442356.385,583,7.9
2442357.8,584,8.4
2442363.361,585,8.25
2442363.378,586,7.85
2442363.406,587,7.75
2442364.265,588,8.23
2442364.292,589,7.83
2442366.313,590,7.95
2442367.292,591,7.95
2442367.7,592,8.3
2442368.358,593,8.35
2442370.323,594,8.15
2442371.271,595,8.19
2442371.365,596,8.23
2442375.476,597,7.69
2442376.302,598,8.15
2442377.26,599,8.15
2442377.729,600,8.18
2442380.719,601,8.15
2442386.51,602,8.08
2442387.7,603,8.1
2442390.7,604,8.5
2442391.25,605,8.05
2442391.382,606,7.85
2442392.646,607,8.05
2442394.708,608,7.9
2442399.278,609,8.23
2442399.471,610,8.23
2442404.281,611,8.23
2442405.708,612,7.95
2442406.267,613,8.17
2442406.332,614,8.23
2442411.281,615,8.23
2442411.388,616,8.15
2442412.271,617,8.48
2442415.7,618,8.5
2442417.267,619,7.93
2442424.365,620,8.23
2442424.7,621,8.2
2442425.271,622,8.19
2442425.299,623,8.23
2442427.295,624,8.29
2442427.33,625,8.71
2442427.344,626,8.23
2442430.288,627,7.9
2442433.333,628,8.31
2442433.354,629,8.58
2442435.396,630,8.51
2442438.323,631,8.41
2442438.396,632,7.95
2442441.391,633,8.51
2442444.344,634,8.51
2442444.354,635,8.36
2442444.51,636,7.95
2442445.292,637,8.36
2442447.33,638,8.61
2442451.302,639,8.71
2442453.344,640,8.08
2442454.7,641,8.7
2442471.281,642,8.41
2442471.392,643,8.52
2442472.319,644,8.55
2442474.313,645,8.41
2442474.434,646,8.23
2442475.42,647,8.2
2442479.323,648,8.41
2442480.6,649,8.5
2442486.7,650,8.7
2442487.354,651,8.41
2442488.375,652,8.41
2442489.316,653,8.35
2442489.333,654,8.41
2442498.6,655,8.6
2442500.334,656,8.17
2442505.398,657,8.23
